id,author,platform,approx_date,time_relative,scraped_date,likes,comments,reposts,text_length,content_hash,tags,preview,chunk_count,indexed
mitko-1,Mitko Vasilev,linkedin,2026-02-24,34m,2026-02-24T13:17:35.977Z,22,9,0,1172,8af6af2d7c37,local-ai|hardware|agents|benchmarks,"Meet Sonic, a tiny gateway that boosts your local AI agents speed by 50% and pro",0,False
mitko-2,Mitko Vasilev,linkedin,2026-02-24,6h,2026-02-24T13:17:35.977Z,188,42,5,686,e9846fa997ce,claude-code|local-ai|minimax|opencode,Me: I want Opus 4.6 My wife: We have Opus 4.6 at home The Opus 4.6 at home is Mi,0,False
mitko-3,Mitko Vasilev,linkedin,2026-02-23,1d,2026-02-24T13:17:35.977Z,166,25,7,657,d536f56ac930,claude-code|hardware|open-source|quantization|enterprise|minimax,"Honey, I shrunk MiniMax-M2.5 and just squeezed it onto a palm-sized ZGX. To make",0,False
mitko-4,Mitko Vasilev,linkedin,2026-02-22,2d,2026-02-24T13:17:35.977Z,173,31,7,810,336a29880460,claude-code|hardware|agents|enterprise|self-improving,I taught my AI agents to rewrite their own ops manual. Not vibes.A Genetic-Paret,0,False
mitko-5,Mitko Vasilev,linkedin,2026-02-22,2d,2026-02-24T13:17:35.977Z,427,60,1,434,d33aaea27ac7,hardware,My USB charger has a Blackwell GPU and 128GB RAM. What. A. Time. To. Be. Alive.,0,False
mitko-6,Mitko Vasilev,linkedin,2026-02-21,3d,2026-02-24T13:17:35.977Z,278,44,12,666,33a4fd69e03d,claude-code|hardware|agents,"I’m a big fan of git worktree, and Claude Code finally learned to do it. Now my",0,False
mitko-7,Mitko Vasilev,linkedin,2026-02-21,3d,2026-02-24T13:17:35.977Z,140,12,3,707,b795198e4c05,local-ai|hardware|quantization,My local AI addiction started in 2022 with GPT-2 and GPT-J running on a janky th,0,False
mitko-8,Mitko Vasilev,linkedin,2026-02-19,5d,2026-02-24T13:17:35.977Z,83,19,3,1252,29876b78e4a5,hardware|agents|open-source|benchmarks,I tapped into my agents' chatter today. Not because it was broken. Because it wa,0,False
mitko-9,Mitko Vasilev,linkedin,2026-02-19,5d,2026-02-24T13:17:35.977Z,222,41,9,912,3f3f1a5e970a,claude-code|hardware|agents|benchmarks|minimax,I finally found the Agent Interface for the AI swarm. It’s not an IDE or TUI. At,0,False
mitko-10,Mitko Vasilev,linkedin,2026-02-18,6d,2026-02-24T13:17:35.977Z,193,41,7,976,048f9027d6c2,claude-code|hardware|agents|open-source|self-improving|opencode,"My AI coding agents just fired themselves, then rehired better versions of thems",0,False
mitko-11,Mitko Vasilev,linkedin,2026-02-17,1w,2026-02-24T13:17:35.977Z,413,52,14,794,8ab4d1e3cb9f,hardware|agents|open-source|benchmarks,Qwen3.5 just dropped today and is an absolute banger!   403B params only 17B act,0,False
mitko-12,Mitko Vasilev,linkedin,2026-02-17,1w,2026-02-24T13:17:35.977Z,249,42,10,1090,cf467055168e,claude-code|local-ai|hardware|agents,First we had IDEs. Then AI CLIs become hot. Now we just let the agent swarms wor,0,False
mitko-13,Mitko Vasilev,linkedin,2026-02-17,1w,2026-02-24T13:17:35.977Z,61,8,3,675,8adbbc8d547b,local-ai|hardware,"Berlinale week. Surrounded by filmmakers, critics, and Neil Patrick Harris. ""Wha",0,False
mitko-14,Mitko Vasilev,linkedin,2026-02-17,1w,2026-02-24T13:17:35.977Z,93,22,3,1254,fe947e7edaad,hardware|agents|open-source|benchmarks|infrastructure,I just carved out time to dig into the latest SWE-rebench. For the uninitiated:,0,False
mitko-15,Mitko Vasilev,linkedin,2026-02-17,1w,2026-02-24T13:17:35.977Z,150,21,1,640,3a196ff28731,claude-code|local-ai|hardware|agents|open-source|minimax,Got an invite for NVIDIA GTC. San Jose. March.  Now I need to figure out how to,0,False
mitko-16,Mitko Vasilev,linkedin,2026-02-17,1w,2026-02-24T13:17:35.978Z,207,32,5,488,c2ed6589a2a4,hardware|agents|benchmarks|minimax,25 years with my wife. MiniMax-M2.5 drops. Same day. Coincidence? I don't think,0,False
mitko-17,Mitko Vasilev,linkedin,2026-02-17,1w,2026-02-24T13:17:35.978Z,229,37,8,872,c6706eb6c04d,claude-code|local-ai|hardware|agents|open-source,My morning routine: Espresso → GLM-5 → Agent Swarm  Just upgraded my local LLM f,0,False
mitko-18,Mitko Vasilev,linkedin,2026-02-10,2w,2026-02-24T13:17:35.978Z,551,65,22,988,eb7f5c7230a0,claude-code|local-ai|hardware|agents|enterprise,I taught my Claude Code to swallow a 32M token codebase without choking. Not wit,0,False
mitko-19,Mitko Vasilev,linkedin,2026-02-10,2w,2026-02-24T13:17:35.978Z,248,31,12,981,31c90b9043ef,local-ai|hardware|agents|open-source|enterprise,I just open-sourced my security auditor for giant legacy codebases. It’s a secur,0,False
mitko-20,Mitko Vasilev,linkedin,2026-02-10,2w,2026-02-24T13:17:35.978Z,399,70,11,804,373ca73c7726,claude-code|local-ai|hardware|agents|open-source|benchmarks|enterprise,I just pushed Claude Code Agent Swarm with 20 coding agents on my desktop GPU wo,0,False
mitko-21,Mitko Vasilev,linkedin,2026-02-10,2w,2026-02-24T13:17:35.978Z,0,218,85,912,8beef0d7506b,claude-code|local-ai|agents|open-source|benchmarks,I just woke up Claude Code Agent Swarm on local Qwen3 Coder Next.  No cloud. No,0,False
mitko-22,Mitko Vasilev,linkedin,2026-02-10,2w,2026-02-24T13:17:35.978Z,55,5,3,729,e252592439fc,hardware|agents|open-source|self-improving,Me: How to scale training environments for training coding agents? Qwen: DIY!,0,False
mitko-23,Mitko Vasilev,linkedin,2026-02-10,2w,2026-02-24T13:17:35.978Z,110,16,3,1194,0bded34bcf02,hardware|agents|open-source|enterprise,"I just met Microsoft's RPG-Encoder, and it's the first AI that doesn't treat my",0,False
mitko-24,Mitko Vasilev,linkedin,2026-02-10,2w,2026-02-24T13:17:35.978Z,254,48,11,781,f606c826bcd4,agents|open-source|quantization|benchmarks|minimax,"I just woke up to Qwen3 Coder Next 💜 80B @ FP8, top speed ~291 tokens/sec on my",0,False
mitko-25,Mitko Vasilev,linkedin,2026-02-10,2w,2026-02-24T13:17:35.978Z,449,43,17,750,7421061576ef,hardware|open-source|benchmarks,I just ran GLM-OCR. The tiny open AI vision model that just dunked on Gemini-3-P,0,False
